RM-V1,-12.2352132004831,-74.6952995024153,6.71998049999999
RM-V2,-11.1349303746518,-79.6138802827297,3.56879183844011
RM-Ip,-41.1653205031963,-3.70490461187215,1.68331416164383
RM-Ia,-38.2419496969205,11.0858601912479,-14.0930348249594
RM-A1,-37.3547713012048,-18.8470205301204,13.4510565783132
RM-A2,-48.4580429984615,-28.3550292476923,14.7533672138461
RM-TCs,-54.6512242179582,-34.3098372525708,-1.2360959139704
RM-TCc,-43.5467492913906,-58.529944244087,-8.98107304635762
RM-TCi,-28.2103657268518,-55.5717501018518,-14.9689254953703
RM-TCpol,-33.8144340209029,-8.11274783695651,-32.9754916262542
RM-TCv,-25.1401865693779,-55.1708349832536,-7.75458014354066
RM-PHC,-21.5230959778597,-33.8263043837638,-11.5738606826568
RM-S1,-37.5683581608796,-25.5724468478009,52.030677115162
RM-S2,-52.8895308224299,-19.7180567196261,19.4344566934579
RM-PCi,-39.2225270495804,-55.0862402387491,42.6078184889396
RM-PCip,-21.9012533112195,-63.7149082965854,53.8411727190242
RM-PCs,-13.8411166719858,-53.7725017748226,58.6829361329787
RM-PCm,-9.13932226086956,-56.9406139686956,38.8798295095652
RM-M1,-24.8541429591685,-18.4172458567186,52.5310386443948
RM-PMCm,-7.159473495702,3.31237311318051,58.7907951060172
RM-PMCdl,-24.085944664723,-5.42782610495626,66.8597639854227
RM-PMCvl,-46.9690588111049,20.8216952172019,11.1995649760479
RM-FEF,-44.1395097435065,0.927189194805195,49.2158895097402
RM-PFCdm,-7.56801023391812,36.4545700233918,48.3285408947368
RM-PFCdl,-24.5155775890411,14.2410121796042,52.8559513120243
RM-PFCcl,-24.2961347731959,42.7885360491674,33.2868873251387
RM-PFCol,-29.0026349338768,48.8589365942029,-3.0934880588768
RM-PFCvl,-40.5649091170678,40.3536369638949,17.0996893391684
RM-PFCoi,-21.4220819011628,21.6013572790697,-19.3410432579941
RM-PFCom,-7.20180110565111,32.9369315208844,-20.5780354987715
RM-PFCpol,-7.9053028207547,61.1779679320754,8.10235477924528
RM-PFCm,-8.36805540334855,44.2081217732115,8.30237500152207
RM-CCs,-4.39763087452471,29.1737338288973,-7.25224653231939
RM-CCa,-6.31744221383647,13.9453696685534,29.5921611194968
RM-CCp,-11.2468911809045,-51.0680754458003,24.9966554027279
RM-CCr,-9.50905693852459,-45.621516364754,10.1914837172131
RM-Amyg,-28.2321485209205,-9.91023967573221,-22.6768158995815
RM-HC,-31.7308620470219,-27.9794075548589,-10.5523232037617
RM-VACv,-24.2854482485119,-83.4318674404761,-12.4786924107142
RM-VACd,-27.4467678306905,-83.8997365391302,19.8270782347826
RM-G,-34.3386524356659,24.2430203205417,-3.37497266365688
