RM-V1,-7.36211871032891,-81.9954272261973,0.816432393537222
RM-V2,-8.56917660402978,-86.2581687003941,-1.67561754927726
RM-Ip,-38.8817235082742,-9.28347475413712,1.8611063073286
RM-Ia,-36.9281249874999,3.5619001675,1.84332563249999
RM-A1,-39.6656291506493,-17.2151409298701,4.58993868571428
RM-A2,-42.3803111249999,-25.780904625,11.4792998641826
RM-TCs,-52.9029218476319,-31.9465499517426,-1.38072315504915
RM-TCc,-49.7030231546922,-47.3856350557184,-14.8014357357038
RM-TCi,-34.9109746636636,-41.5696044804805,-19.1323250765765
RM-TCpol,-36.9185476572249,-0.888541185960588,-27.2778355833333
RM-TCv,-20.1189077563025,-52.7782816998799,-10.0645944273709
RM-PHC,-17.4493497585253,-38.3966218847925,-7.31757173824886
RM-S1,-37.028630322808,-26.6634114089515,45.6759684561618
RM-S2,-41.7720613520408,-24.1052265905612,16.4491390408163
RM-PCi,-42.5062145632816,-54.7361553571786,32.8395372336168
RM-PCip,-30.56033414789,-53.6396598974061,44.7668092636468
RM-PCs,-21.4497582984496,-52.9600932951272,50.2279634191583
RM-PCm,-5.27971082022472,-59.0247604582664,39.450752477528
RM-M1,-28.7187229363271,-18.1958135355227,50.4015231179624
RM-PMCm,-9.91874094089673,6.29960737771738,62.6826329721467
RM-PMCdl,-24.7081354820224,-4.77097725955056,56.7584218303371
RM-PMCvl,-46.9643052875071,10.0935722435824,17.887738144324
RM-FEF,-42.6746550171875,1.160067321875,41.77862994375
RM-PFCdm,-16.4910830579096,31.4791570225988,48.2299748799435
RM-PFCdl,-28.9726456463414,9.82626260650406,51.1712040211382
RM-PFCcl,-36.3194238438538,21.0185088372093,40.8505033455149
RM-PFCol,-38.8734818734609,33.1661279220246,20.682710992476
RM-PFCvl,-39.9766317592954,19.8303290704501,24.6685310293542
RM-PFCoi,-29.7994417145303,36.8483637374635,1.52395606332362
RM-PFCom,-8.9581036460919,39.0028409731633,-3.07404498960081
RM-PFCpol,-14.8798828805309,47.7559014137168,34.5046776028761
RM-PFCm,-5.78756991631798,40.5759138179916,27.654797043933
RM-CCs,-2.69060592987805,21.0142718993902,1.22157728658536
RM-CCa,-6.35851902603707,12.4549423874668,37.8794904382171
RM-CCp,-6.96411568301226,-40.2116770461178,34.1373499976649
RM-CCr,-10.2957010494296,-37.7366243460075,17.1961464220532
RM-Amyg,-20.9927981001371,-9.51634146776406,-24.6420322866941
RM-HC,-25.8468801121951,-25.2793656926829,-12.3351639186991
RM-VACv,-22.8225749977603,-78.2541000151176,-13.4907655817469
RM-VACd,-22.8470717724065,-81.2837017900493,14.5472532988708
RM-G,-29.8324441368821,10.3694129695817,15.3323506920152
